Month,Price (€/m^2),District
2022-05-01,3586,Famagosta
2022-04-01,3616,Famagosta
2022-03-01,3548,Famagosta
2022-02-01,3514,Famagosta
2022-01-01,3444,Famagosta
2021-12-01,3424,Famagosta
2021-11-01,3449,Famagosta
2021-10-01,3477,Famagosta
2021-09-01,3584,Famagosta
2021-08-01,3594,Famagosta
2021-07-01,3550,Famagosta
2021-06-01,3573,Famagosta
2021-05-01,3516,Famagosta
2021-04-01,3470,Famagosta
2021-03-01,3403,Famagosta
2021-02-01,3344,Famagosta
2021-01-01,3464,Famagosta
2020-12-01,3512,Famagosta
2020-11-01,3567,Famagosta
2020-10-01,3580,Famagosta
2020-09-01,3680,Famagosta
2020-08-01,3737,Famagosta
2020-07-01,3686,Famagosta
2020-06-01,3595,Famagosta
2020-05-01,3612,Famagosta
2020-04-01,3524,Famagosta
2020-03-01,3482,Famagosta
2020-02-01,3530,Famagosta
