"ITTER107","Territorio","TIPO_DATO7","Indicatori","CORREZ","Correzione","TIPO_ALLOGGIO2","Tipologia di esercizio","ATECO_2007","Ateco 2007","ISO","Paese di residenza dei clienti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-10","Ott-1997",6331002,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-11","Nov-1997",4670697,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-12","Dic-1997",5694846,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-01","Gen-1998",6848074,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-02","Feb-1998",6718251,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-03","Mar-1998",6995568,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-04","Apr-1998",7145946,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-05","Mag-1998",8027104,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-06","Giu-1998",13177756,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-07","Lug-1998",20044314,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-08","Ago-1998",27497485,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-09","Set-1998",12440654,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-10","Ott-1998",6558532,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-11","Nov-1998",4887861,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1998-12","Dic-1998",5836846,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-01","Gen-1999",7123563,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-02","Feb-1999",6728614,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-03","Mar-1999",7047684,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-04","Apr-1999",7565065,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-05","Mag-1999",8210024,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-06","Giu-1999",13534925,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-07","Lug-1999",20520858,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-08","Ago-1999",27530059,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-09","Set-1999",12743154,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-10","Ott-1999",6731088,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-11","Nov-1999",4826439,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1999-12","Dic-1999",5676451,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-01","Gen-2000",7568686,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-02","Feb-2000",7111547,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-03","Mar-2000",7841934,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-04","Apr-2000",8668710,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-05","Mag-2000",8405365,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-06","Giu-2000",14517051,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-07","Lug-2000",20986109,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-08","Ago-2000",27970371,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-09","Set-2000",13553704,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-10","Ott-2000",7164026,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-11","Nov-2000",5404873,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2000-12","Dic-2000",7199311,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-01","Gen-2001",7562974,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-02","Feb-2001",7362626,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-03","Mar-2001",7864359,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-04","Apr-2001",8701867,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-05","Mag-2001",8434948,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-06","Giu-2001",15298680,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-07","Lug-2001",21102744,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-08","Ago-2001",28537101,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-09","Set-2001",13591451,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-10","Ott-2001",7295993,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-11","Nov-2001",5791682,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2001-12","Dic-2001",7014958,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2002-01","Gen-2002",6742355,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2002-02","Feb-2002",7041693,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2002-03","Mar-2002",8173637,,
