Month,Price (€/m^2),District
2015-08-01,13.0,CittaStudi
2015-07-01,13.1,CittaStudi
2015-06-01,13.1,CittaStudi
2015-05-01,13.1,CittaStudi
2015-04-01,13.3,CittaStudi
2015-03-01,13.1,CittaStudi
2015-02-01,13.3,CittaStudi
2015-01-01,13.1,CittaStudi
2014-12-01,13.0,CittaStudi
2014-11-01,13.0,CittaStudi
2014-10-01,13.2,CittaStudi
2014-09-01,13.0,CittaStudi
2014-08-01,12.9,CittaStudi
2014-07-01,12.7,CittaStudi
2014-06-01,12.5,CittaStudi
2014-05-01,12.8,CittaStudi
2014-04-01,12.8,CittaStudi
2014-03-01,12.8,CittaStudi
2014-02-01,12.9,CittaStudi
2014-01-01,13.0,CittaStudi
2013-12-01,13.0,CittaStudi
2013-11-01,13.0,CittaStudi
2013-10-01,13.0,CittaStudi
2013-09-01,,CittaStudi
2013-08-01,,CittaStudi
2013-07-01,13.0,CittaStudi
2013-06-01,13.0,CittaStudi
2013-05-01,12.9,CittaStudi
2013-04-01,12.8,CittaStudi
2023-03-01,18.6,Certosa
2023-02-01,18.6,Certosa
2023-01-01,17.8,Certosa
2022-12-01,17.6,Certosa
2022-11-01,16.4,Certosa
2022-10-01,17.2,Certosa
2022-09-01,17.0,Certosa
2022-08-01,17.1,Certosa
2022-07-01,16.2,Certosa
2022-06-01,15.5,Certosa
2022-05-01,15.6,Certosa
2022-04-01,15.7,Certosa
2022-03-01,15.4,Certosa
2022-02-01,14.6,Certosa
2022-01-01,15.4,Certosa
2021-12-01,15.4,Certosa
2021-11-01,15.6,Certosa
2021-10-01,15.6,Certosa
2021-09-01,15.8,Certosa
2021-08-01,16.0,Certosa
2021-07-01,16.0,Certosa
2021-06-01,14.7,Certosa
2021-05-01,14.3,Certosa
2021-04-01,14.5,Certosa
2021-03-01,15.0,Certosa
2021-02-01,15.0,Certosa
2021-01-01,15.0,Certosa
2020-12-01,15.0,Certosa
2020-11-01,15.6,Certosa
2020-10-01,16.0,Certosa
2020-09-01,16.0,Certosa
2020-08-01,15.8,Certosa
2020-07-01,16.0,Certosa
2020-06-01,16.0,Certosa
2020-05-01,16.7,Certosa
2020-04-01,17.8,Certosa
2020-03-01,17.2,Certosa
2020-02-01,17.1,Certosa
2020-01-01,16.2,Certosa
2019-12-01,16.7,Certosa
2019-11-01,16.0,Certosa
2019-10-01,15.9,Certosa
2019-09-01,15.6,Certosa
2019-08-01,15.0,Certosa
2019-07-01,15.0,Certosa
2019-06-01,16.0,Certosa
2019-05-01,15.0,Certosa
